jd_night,sindex
2439369.7998,0.1811
2439370.7998,0.1823
2439371.7998,0.1817
2439391.7998,0.1825
2439392.7998,0.1832
2439422.7998,0.1806
2439423.7998,0.1791
2439486.7998,0.1805
2439487.7998,0.1776
2439516.7998,0.1859
2439548.7998,0.1812
2439549.7998,0.1881
2439550.7998,0.1902
2439596.7998,0.1703
2439597.7998,0.1736
2439666.7998,0.1655
2439667.7998,0.1704
2439668.7998,0.164
2439669.7998,0.1649
2439691.7998,0.1669
2439692.7998,0.1724
2439694.7998,0.1734
2439719.7998,0.1615
2439720.7998,0.1698
2439721.7998,0.1718
2439722.7998,0.1855
2439723.7998,0.1842
2439786.7998,0.1824
2439787.7998,0.1808
2439886.7998,0.1863
2440011.80005,0.1949
2440037.80005,0.1735
2440046.80005,0.173
2440048.80005,0.183
2440068.80005,0.1861
2440077.80005,0.1844
2440079.80005,0.1824
2440105.80005,0.1726
2440106.80005,0.1841
2440107.80005,0.1797
2440129.80005,0.1765
2440167.80005,0.1754
2440168.80005,0.1769
2440169.80005,0.1801
2440201.80005,0.1796
2440202.80005,0.1838
2440223.80005,0.1805
2440224.80005,0.1776
2440252.80005,0.1818
2440253.80005,0.1816
2440254.80005,0.187
2440284.80005,0.1974
2440285.80005,0.1913
2440311.80005,0.1824
2440312.80005,0.1918
2440340.80005,0.1779
2440341.80005,0.1812
2440342.80005,0.1741
2440456.80005,0.1744
2440457.80005,0.1797
2440517.80005,0.186
2440519.80005,0.1785
2440573.80005,0.1876
2440611.80005,0.1879
2440612.80005,0.1885
2440662.80005,0.1879
2440663.80005,0.1924
2440664.80005,0.1885
2440665.80005,0.1835
2440687.80005,0.1773
2440688.80005,0.1761
2440725.80005,0.1806
2440726.80005,0.1748
2440843.80005,0.1859
2441041.80005,0.1812
2441052.80005,0.1829
2441133.80005,0.1736
2441134.80005,0.1722
2441135.80005,0.1758
2441136.80005,0.1843
2442110.80005,0.171
2442167.80005,0.175
2442168.80005,0.1684
2442169.80005,0.1807
2442259.80005,0.1668
2442260.80005,0.1774
2442261.80005,0.1643
2442262.80005,0.1662
2442283.80005,0.1664
2442284.80005,0.1651
2442285.80005,0.1718
2442344.5,0.1685
2442345.5,0.169
2442349.80005,0.1699
2442350.80005,0.1674
2442380.80005,0.1672
2442382.80005,0.1742
2442438.80005,0.1598
2442440.80005,0.1633
2442467.80005,0.1728
2442468.80005,0.1731
2442469.80005,0.1693
2442470.80005,0.1767
2442474.5,0.1686
2442495.80005,0.1728
2442497.80005,0.1652
2442498.80005,0.1702
2442557.80005,0.1672
2442559.80005,0.1751
2442590.80005,0.1704
2442613.80005,0.1688
2442614.80005,0.1726
2442615.80005,0.1754
2442616.80005,0.1702
2442644.80005,0.169
2442645.80005,0.1761
2442646.80005,0.1781
2442647.80005,0.1761
2442675.80005,0.1758
2442676.80005,0.1668
2442677.80005,0.1684
2442678.80005,0.1661
2442702.80005,0.1692
2442703.80005,0.1744
2442704.80005,0.1732
2442731.80005,0.1698
2442732.80005,0.1662
2442756.5,0.1698
2442757.5,0.1698
2442763.80005,0.1676
2442764.5,0.1713
2442764.80005,0.1674
2442765.80005,0.1762
2442783.5,0.1689
2442792.80005,0.1733
2442793.80005,0.1657
2442794.80005,0.1653
2442808.5,0.1681
2442819.80005,0.1641
2442820.80005,0.1638
2442821.80005,0.1675
2442848.80005,0.1675
2442849.80005,0.1672
2442850.80005,0.1664
2442851.80005,0.1633
2442873.5,0.1681
2442885.80005,0.1669
2442910.80005,0.1737
2442911.80005,0.1651
2442912.80005,0.1688
2442913.80005,0.1709
2442926.5,0.1676
2442940.80005,0.1641
2442973.80005,0.1643
2443001.5,0.1702
2443036.5,0.1686
2443060.79999,0.1614
2443062.79999,0.1598
2443102.5,0.1667
2443103.5,0.1677
2443111.5,0.1707
2443111.79999,0.1665
2443112.79999,0.1706
2443113.79999,0.1633
2443114.5,0.1662
2443116.5,0.1758
2443119.5,0.1754
2443120.5,0.1672
2443122.5,0.1688
2443131.5,0.1722
2443134.5,0.1721
2443146.79999,0.1719
2443149.5,0.1688
2443159.5,0.1699
2443168.5,0.1744
2443169.5,0.1733
2443170.5,0.1669
2443172.79999,0.1668
2443173.79999,0.1726
2443174.5,0.1698
2443174.79999,0.1644
2443175.5,0.1671
2443175.79999,0.1688
2443176.79999,0.1663
2443177.5,0.165
2443178.5,0.1684
2443180.5,0.1728
2443182.5,0.1766
2443183.5,0.1682
2443185.5,0.1686
2443186.5,0.1613
2443187.5,0.1716
2443188.5,0.1682
2443189.5,0.1694
2443191.5,0.1678
2443193.5,0.1667
2443193.5,0.1695
2443197.5,0.1676
2443202.5,0.1663
2443203.79999,0.1655
2443204.5,0.1698
2443204.79999,0.1672
2443205.5,0.1681
2443205.79999,0.1704
2443206.79999,0.1668
2443207.5,0.1653
2443208.5,0.1712
2443213.5,0.1713
2443222.5,0.1668
2443223.5,0.1667
2443225.5,0.1757
2443226.5,0.175
2443234.5,0.169
2443235.5,0.1689
2443236.79999,0.1679
2443237.5,0.169
2443237.79999,0.1685
2443239.5,0.1713
2443239.79999,0.1751
2443240.5,0.1686
2443241.5,0.1688
2443244.5,0.1686
2443244.5,0.1669
2443245.5,0.171
2443253.5,0.1698
2443254.5,0.1688
2443264.5,0.169
2443264.5,0.1758
2443269.5,0.1744
2443270.5,0.1721
2443272.5,0.1731
2443273.5,0.1704
2443301.5,0.1724
2443318.5,0.1747
2443320.5,0.1757
2443331.5,0.17
2443365.5,0.1706
2443394.5,0.1719
2443395.5,0.1742
2443398.5,0.1741
2443403.5,0.175
2443406.5,0.1738
2443421.5,0.1734
2443439.5,0.1721
2443444.5,0.1728
2443446.5,0.1742
2443447.5,0.1742
2443448.5,0.175
2443449.5,0.1747
2443450.5,0.1752
2443469.5,0.1725
2443470.5,0.1722
2443472.5,0.1705
2443480.5,0.1747
2443481.5,0.175
2443482.5,0.1752
2443483.5,0.1754
2443489.5,0.1747
2443510.5,0.1823
2443511.5,0.1824
2443512.5,0.1821
2443513.5,0.1798
2443516.5,0.1732
2443563.5,0.1879
2443581.5,0.1791
2443584.5,0.1821
2443603.5,0.1825
2443604.5,0.1825
2443605.5,0.1838
2443605.5,0.1926
2443615.5,0.1802
2443616.5,0.1809
2443624.5,0.1817
2443626.5,0.1834
2443631.5,0.1868
2443632.5,0.1854
2443647.5,0.1829
2443648.5,0.1824
2443658.5,0.1847
2443659.5,0.183
2443660.5,0.1818
2443661.5,0.1809
2443662.5,0.1779
2443663.5,0.1778
2443693.5,0.1783
2443695.5,0.1789
2443708.5,0.1842
2443753.5,0.1805
2443755.5,0.1807
2443782.5,0.1822
2443789.5,0.1817
2443791.5,0.1835
2443792.5,0.1837
2443793.5,0.1847
2443795.5,0.1892
2443810.5,0.1913
2443811.5,0.1911
2443817.5,0.1896
2443829.5,0.1841
2443830.5,0.1779
2443831.5,0.178
2443853.5,0.1908
2443856.5,0.1882
2443863.5,0.1802
2443864.5,0.1797
2443868.5,0.1858
2443875.5,0.1948
2443877.5,0.1951
2443886.5,0.1879
2443910.5,0.1977
2443911.5,0.1981
2443912.5,0.1972
2443937.5,0.1965
2443938.5,0.1955
2443939.5,0.1946
2443940.5,0.1936
2443957.5,0.1806
2443966.5,0.1958
2443967.5,0.1929
2443968.5,0.1906
2443978.5,0.1981
2443980.5,0.191
2443993.5,0.194
2444006.5,0.1951
2444006.5,0.1919
2444007.5,0.1901
2444008.5,0.1927
2444009.5,0.1891
2444030.5,0.1972
2444031.5,0.1988
2444056.5,0.1944
2444057.5,0.1958
2444059.5,0.1984
2444063.5,0.1962
2444091.5,0.1842
2444093.5,0.1847
2444112.5,0.1945
2444116.5,0.1948
2444120.5,0.188
2444121.5,0.1884
2444122.5,0.1887
2444149.5,0.1882
2444152.5,0.1899
2444177.5,0.1941
2444186.5,0.2059
2444206.5,0.1861
2444217.5,0.2059
2444220.5,0.2074
2444240.5,0.1981
2444242.5,0.2019
2444281.5,0.1936
2444290.5,0.1765
2444292.5,0.1801
2444295.5,0.1936
2444300.5,0.1966
2444302.5,0.1953
2444303.5,0.1932
2444324.5,0.2004
2444347.5,0.1875
2444348.5,0.192
2444354.5,0.1941
2444355.5,0.1941
2444363.5,0.1948
2444364.5,0.196
2444366.5,0.197
2444376.5,0.1951
2444394.5,0.191
2444395.5,0.1899
2444396.5,0.1877
2444397.5,0.188
2444420.5,0.189
2444422.5,0.1868
2444452.5,0.1854
2444454.5,0.1834
2444455.5,0.1823
2444478.5,0.1916
2444479.5,0.1875
2444483.5,0.1918
2444485.5,0.1941
2444513.5,0.1922
2444514.5,0.1927
2444515.5,0.1932
2444516.5,0.1925
2444549.5,0.2002
2444549.5,0.2013
2444550.5,0.2005
2444550.5,0.2005
2444574.5,0.2
2444575.5,0.2005
2444575.5,0.1974
2444576.5,0.2
2444576.5,0.1965
2444577.5,0.1988
2444577.5,0.2078
2444578.5,0.1908
2444584.5,0.1929
2444590.5,0.1986
2444594.5,0.195
2444600.5,0.1914
2444604.5,0.1961
2444606.5,0.1928
2444612.5,0.1889
2444625.5,0.1881
2444626.5,0.1906
2444631.5,0.1924
2444635.5,0.1857
2444636.5,0.1942
2444636.5,0.1907
2444639.5,0.196
2444640.5,0.1904
2444642.5,0.1894
2444643.5,0.1917
2444646.5,0.1875
2444647.5,0.1856
2444659.5,0.192
2444664.5,0.1964
2444667.5,0.2005
2444671.5,0.1955
2444671.5,0.188
2444678.5,0.1917
2444680.5,0.1882
2444681.5,0.185
2444685.5,0.1929
2444686.5,0.1874
2444693.5,0.1942
2444694.5,0.1934
2444695.5,0.1988
2444695.5,0.1972
2444698.5,0.2005
2444699.5,0.1925
2444705.5,0.1976
2444713.5,0.1909
2444722.5,0.1933
2444727.5,0.1924
2444728.5,0.2005
2444728.5,0.1937
2444729.5,0.2012
2444730.5,0.2
2444730.5,0.1966
2444731.5,0.195
2444732.5,0.1945
2444733.5,0.1877
2444738.5,0.1894
2444739.5,0.1917
2444740.5,0.1997
2444742.5,0.1885
2444748.5,0.1877
2444756.5,0.188
2444756.5,0.1848
2444757.5,0.188
2444757.5,0.1839
2444758.5,0.1868
2444761.5,0.1901
2444762.5,0.188
2444763.5,0.1873
2444764.5,0.1803
2444766.5,0.1863
2444767.5,0.186
2444768.5,0.191
2444775.5,0.1913
2444786.5,0.1887
2444787.5,0.1875
2444788.5,0.187
2444789.5,0.1861
2444803.5,0.1865
2444804.5,0.1909
2444822.5,0.1858
2444823.5,0.187
2444831.5,0.1942
2444832.5,0.1939
2444833.5,0.1974
2444852.5,0.2007
2444853.5,0.2012
2444866.5,0.1966
2444867.5,0.1947
2444881.5,0.2012
2444886.5,0.1951
2444887.5,0.1972
2444893.5,0.2036
2444894.5,0.204
2444895.5,0.2029
2444895.5,0.2039
2444902.5,0.193
2444909.5,0.198
2444910.5,0.2019
2444910.5,0.1987
2444911.5,0.2036
2444925.5,0.1956
2444939.5,0.2012
2444940.5,0.2025
2444941.5,0.2024
2444946.5,0.2083
2444953.5,0.1926
2444972.5,0.1972
2444973.5,0.1979
2444994.5,0.1921
2445002.5,0.2064
2445020.5,0.1891
2445027.5,0.1991
2445028.5,0.2057
2445029.5,0.2056
2445048.5,0.1903
2445049.5,0.1933
2445051.5,0.1908
2445055.5,0.1969
2445056.5,0.2025
2445063.5,0.188
2445064.5,0.1844
2445065.5,0.1891
2445066.5,0.1903
2445067.5,0.1927
2445067.5,0.1877
2445069.5,0.1919
2445079.5,0.1821
2445084.5,0.1911
2445087.5,0.1837
2445092.5,0.1827
2445095.5,0.1903
2445095.5,0.1831
2445096.5,0.1901
2445097.5,0.1891
2445106.5,0.1838
2445107.5,0.1913
2445108.5,0.1897
2445109.5,0.1882
2445110.5,0.1895
2445112.5,0.1869
2445113.5,0.1837
2445114.5,0.1836
2445115.5,0.1887
2445115.5,0.1881
2445116.5,0.1889
2445117.5,0.1875
2445117.5,0.1799
2445118.5,0.1831
2445121.5,0.187
2445121.5,0.1809
2445122.5,0.187
2445122.5,0.1851
2445123.5,0.1797
2445124.5,0.1861
2445124.5,0.1831
2445125.5,0.1875
2445125.5,0.1817
2445126.5,0.1831
2445127.5,0.1809
2445132.5,0.1884
2445133.5,0.1894
2445134.5,0.1903
2445135.5,0.1849
2445141.5,0.1894
2445142.5,0.1883
2445143.5,0.1869
2445144.5,0.1793
2445145.5,0.1796
2445146.5,0.1757
2445147.5,0.174
2445148.5,0.1783
2445152.5,0.1788
2445153.5,0.1758
2445154.5,0.1842
2445154.5,0.1797
2445155.5,0.1819
2445156.5,0.1805
2445182.5,0.1802
2445183.5,0.1828
2445184.5,0.1829
2445185.5,0.1868
2445215.5,0.1932
2445216.5,0.1951
2445217.5,0.1953
2445248.5,0.1887
2445249.5,0.1856
2445250.5,0.1847
2445251.5,0.1847
2445276.5,0.1875
2445277.5,0.1873
2445279.5,0.1889
2445286.5,0.1881
2445307.5,0.1908
2445308.5,0.1915
2445309.5,0.1927
2445310.5,0.1939
2445335.5,0.1849
2445336.5,0.1837
2445337.5,0.1842
2445338.5,0.1856
2445342.5,0.1892
2445343.5,0.1924
2445346.5,0.1858
2445347.5,0.188
2445358.5,0.183
2445360.5,0.1834
2445380.5,0.1747
2445382.5,0.1697
2445383.5,0.1719
2445386.5,0.1717
2445387.5,0.1768
2445392.5,0.1747
2445402.5,0.1669
2445403.5,0.1657
2445409.5,0.1675
2445410.5,0.163
2445417.5,0.1695
2445422.5,0.1738
2445423.5,0.164
2445426.5,0.1647
2445427.5,0.1802
2445429.5,0.178
2445434.5,0.1668
2445440.5,0.1716
2445441.5,0.1652
2445442.5,0.171
2445443.5,0.1656
2445445.5,0.1664
2445448.5,0.172
2445450.5,0.1761
2445455.5,0.1858
2445456.5,0.1844
2445457.5,0.1733
2445459.5,0.1678
2445460.5,0.1752
2445461.5,0.1637
2445463.5,0.1697
2445465.5,0.1636
2445466.5,0.1725
2445467.5,0.1649
2445469.5,0.179
2445472.5,0.1718
2445477.5,0.1829
2445487.5,0.1816
2445488.5,0.1818
2445493.5,0.1715
2445503.5,0.1799
2445510.5,0.1816
2445515.5,0.1758
2445519.5,0.1769
2445525.5,0.1818
2445526.5,0.1818
2445527.5,0.1816
2445530.5,0.1749
2445531.5,0.1752
2445547.5,0.1842
2445548.5,0.1844
2445549.5,0.1839
2445560.5,0.1889
2445569.5,0.1785
2445577.5,0.1747
2445578.5,0.178
2445579.5,0.1748
2445580.5,0.1785
2445581.5,0.179
2445596.5,0.1733
2445602.5,0.1726
2445610.5,0.1804
2445625.5,0.1764
2445626.5,0.174
2445627.5,0.1761
2445628.5,0.1723
2445631.5,0.1732
2445637.5,0.1764
2445638.5,0.1752
2445644.5,0.1816
2445645.5,0.1813
2445668.5,0.1756
2445671.5,0.1769
2445684.5,0.1709
2445702.5,0.1754
2445703.5,0.1759
2445703.5,0.1765
2445705.5,0.1749
2445706.5,0.1758
2445709.5,0.1753
2445710.5,0.1745
2445711.5,0.1758
2445714.5,0.1721
2445715.5,0.1727
2445717.5,0.1709
2445718.5,0.1715
2445719.5,0.1669
2445720.5,0.1743
2445722.5,0.1755
2445723.5,0.1809
2445726.5,0.1812
2445727.5,0.1888
2445728.5,0.185
2445731.5,0.1793
2445732.5,0.1784
2445733.5,0.1767
2445734.5,0.1771
2445734.5,0.1756
2445735.5,0.1792
2445735.5,0.1787
2445736.5,0.1765
2445737.5,0.1839
2445738.5,0.1792
2445739.5,0.1766
2445740.5,0.1766
2445741.5,0.1759
2445742.5,0.1751
2445743.5,0.1766
2445745.5,0.1729
2445746.5,0.1747
2445748.5,0.1756
2445751.5,0.1828
2445752.5,0.187
2445754.5,0.1861
2445755.5,0.1892
2445757.5,0.1809
2445758.5,0.1839
2445758.5,0.1832
2445759.5,0.1837
2445759.5,0.1805
2445760.5,0.1825
2445760.5,0.1786
2445761.5,0.1809
2445761.5,0.1775
2445762.5,0.1768
2445763.5,0.1721
2445769.5,0.1731
2445775.5,0.18
2445776.5,0.1763
2445777.5,0.1782
2445778.5,0.1854
2445782.5,0.1847
2445783.5,0.1792
2445788.5,0.1811
2445790.5,0.1823
2445790.5,0.1795
2445791.5,0.1794
2445792.5,0.183
2445793.5,0.1842
2445793.5,0.1821
2445794.5,0.1832
2445794.5,0.1769
2445795.5,0.1809
2445798.5,0.1778
2445800.5,0.1777
2445801.5,0.1712
2445802.5,0.1736
2445803.5,0.1768
2445804.5,0.1782
2445805.5,0.1763
2445808.5,0.1848
2445809.5,0.1804
2445811.5,0.173
2445813.5,0.177
2445814.5,0.1771
2445815.5,0.1789
2445817.5,0.1869
2445819.5,0.1842
2445819.5,0.1815
2445820.5,0.183
2445821.5,0.1818
2445821.5,0.1763
2445822.5,0.1806
2445822.5,0.1728
2445825.5,0.1674
2445826.5,0.17
2445827.5,0.1735
2445828.5,0.1733
2445832.5,0.1863
2445834.5,0.1808
2445839.5,0.1725
2445840.5,0.1742
2445844.5,0.1746
2445845.5,0.1737
2445846.5,0.1764
2445847.5,0.183
2445847.5,0.1742
2445848.5,0.1818
2445848.5,0.1763
2445850.5,0.1723
2445855.5,0.1787
2445855.5,0.1783
2445856.5,0.179
2445857.5,0.1787
2445858.5,0.178
2445858.5,0.1767
2445859.5,0.1743
2445860.5,0.176
2445861.5,0.1755
2445863.5,0.1723
2445880.5,0.1708
2445882.5,0.1764
2445882.5,0.1742
2445883.5,0.1764
2445884.5,0.1783
2445885.5,0.1799
2445888.5,0.177
2445896.5,0.1731
2445897.5,0.1702
2445900.5,0.1693
2445904.5,0.1703
2445905.5,0.1721
2445910.5,0.1712
2445913.5,0.174
2445913.5,0.1732
2445914.5,0.1746
2445915.5,0.174
2445926.5,0.1737
2445932.5,0.174
2445935.5,0.166
2445939.5,0.1705
2445946.5,0.1761
2445946.5,0.1729
2445947.5,0.1761
2445947.5,0.1723
2445948.5,0.1761
2445948.5,0.1713
2445949.5,0.1752
2445954.5,0.1672
2445962.5,0.1684
2445964.5,0.1689
2445973.5,0.1662
2445979.5,0.1715
2445980.5,0.1685
2445981.5,0.1695
2445985.5,0.1707
2445986.5,0.1705
2445986.5,0.1642
2445987.5,0.1699
2445987.5,0.1635
2445989.5,0.1712
2445990.5,0.1638
2445992.5,0.1729
2446001.5,0.1654
2446002.5,0.1644
2446003.5,0.1669
2446004.5,0.1661
2446006.5,0.1678
2446007.5,0.1659
2446008.5,0.1656
2446009.5,0.1653
2446010.5,0.1698
2446011.5,0.17
2446011.5,0.1672
2446012.5,0.1681
2446016.5,0.168
2446017.5,0.1664
2446026.5,0.1749
2446040.5,0.1686
2446040.5,0.176
2446041.5,0.1688
2446043.5,0.1705
2446051.5,0.1676
2446055.5,0.1682
2446056.5,0.17
2446057.5,0.1694
2446063.5,0.1682
2446064.5,0.1686
2446065.5,0.1677
2446067.5,0.1637
2446068.5,0.1676
2446068.5,0.167
2446069.5,0.1672
2446070.5,0.1669
2446074.5,0.1681
2446075.5,0.1671
2446093.5,0.1692
2446098.5,0.1652
2446101.5,0.1674
2446101.5,0.1655
2446102.5,0.1674
2446104.5,0.1681
2446108.5,0.1674
2446110.5,0.1673
2446111.5,0.1659
2446112.5,0.168
2446113.5,0.1672
2446115.5,0.1675
2446117.5,0.1681
2446120.5,0.1669
2446121.5,0.1675
2446126.5,0.1712
2446128.5,0.1672
2446128.5,0.1652
2446129.5,0.1667
2446130.5,0.1665
2446131.5,0.1646
2446132.5,0.1677
2446142.5,0.1699
2446145.5,0.1639
2446146.5,0.17
2446148.5,0.1696
2446152.5,0.171
2446155.5,0.1666
2446156.5,0.1681
2446157.5,0.1678
2446158.5,0.1679
2446159.5,0.1683
2446164.5,0.1696
2446165.5,0.1648
2446166.5,0.1639
2446167.5,0.1635
2446170.5,0.1674
2446171.5,0.1664
2446173.5,0.1677
2446174.5,0.1662
2446175.5,0.1698
2446178.5,0.1704
2446179.5,0.1687
2446185.5,0.1685
2446190.5,0.1679
2446191.5,0.1679
2446193.5,0.1695
2446193.5,0.1677
2446194.5,0.1704
2446196.5,0.1686
2446197.5,0.1691
2446203.5,0.1686
2446204.5,0.1697
2446205.5,0.168
2446206.5,0.1691
2446207.5,0.1704
2446208.5,0.1687
2446209.5,0.1692
2446210.5,0.1678
2446211.5,0.1664
2446212.5,0.1651
2446213.5,0.1658
2446214.5,0.1644
2446217.5,0.1636
2446218.5,0.1674
2446218.5,0.1653
2446219.5,0.166
2446219.5,0.1651
2446220.5,0.1642
2446222.5,0.1673
2446227.5,0.1694
2446229.5,0.1724
2446230.5,0.1713
2446232.5,0.1702
2446236.5,0.1677
2446237.5,0.1631
2446238.5,0.163
2446239.5,0.1634
2446242.5,0.1665
2446243.5,0.1652
2446244.5,0.1662
2446245.5,0.1641
2446246.5,0.165
2446250.5,0.1716
2446251.5,0.1719
2446253.5,0.1667
2446254.5,0.1682
2446260.5,0.1659
2446270.5,0.1692
2446278.5,0.1674
2446279.5,0.1681
2446280.5,0.1664
2446297.5,0.163
2446298.5,0.1619
2446299.5,0.1656
2446302.5,0.1676
2446303.5,0.169
2446307.5,0.171
2446308.5,0.1678
2446309.5,0.1724
2446310.5,0.1676
2446311.5,0.1705
2446313.5,0.1657
2446314.5,0.1673
2446315.5,0.1685
2446317.5,0.1676
2446320.5,0.1713
2446329.5,0.1659
2446330.5,0.1683
2446331.5,0.1664
2446332.5,0.1693
2446333.5,0.1689
2446334.5,0.172
2446335.5,0.1685
2446338.5,0.166
2446340.5,0.17
2446340.5,0.1648
2446341.5,0.1698
2446341.5,0.1652
2446342.5,0.1677
2446349.5,0.1652
2446350.5,0.1646
2446356.5,0.1681
2446361.5,0.1715
2446362.5,0.1721
2446363.5,0.1727
2446364.5,0.1703
2446366.5,0.1687
2446371.5,0.1652
2446372.5,0.1693
2446373.5,0.1693
2446374.5,0.1702
2446375.5,0.1695
2446375.5,0.1653
2446376.5,0.1635
2446377.5,0.1655
2446379.5,0.1658
2446383.5,0.1683
2446384.5,0.1697
2446385.5,0.1699
2446389.5,0.1676
2446390.5,0.1691
2446391.5,0.1714
2446396.5,0.1668
2446400.5,0.1682
2446403.5,0.1671
2446404.5,0.1678
2446407.5,0.1698
2446409.5,0.1709
2446413.5,0.1713
2446416.5,0.1692
2446417.5,0.1676
2446418.5,0.1701
2446419.5,0.1684
2446422.5,0.1695
2446423.5,0.1677
2446425.5,0.1663
2446426.5,0.1677
2446429.5,0.1669
2446430.5,0.1708
2446432.5,0.1673
2446434.5,0.1687
2446436.5,0.1656
2446438.5,0.1709
2446438.5,0.169
2446439.5,0.1709
2446440.5,0.1714
2446449.5,0.1667
2446450.5,0.1679
2446452.5,0.1668
2446453.5,0.1656
2446454.5,0.1669
2446455.5,0.1671
2446457.5,0.167
2446458.5,0.1664
2446460.5,0.1679
2446464.5,0.1742
2446466.5,0.175
2446472.5,0.1705
2446473.5,0.1672
2446474.5,0.1667
2446475.5,0.1638
2446478.5,0.1651
2446479.5,0.1658
2446480.5,0.1641
2446481.5,0.1664
2446482.5,0.1638
2446483.5,0.1643
2446484.5,0.1667
2446487.5,0.1686
2446493.5,0.1727
2446494.5,0.1731
2446495.5,0.1761
2446497.5,0.1743
2446509.5,0.1681
